Keyword,seller name,Price,Currency,2018-07-18
Sleeping Bags,xianghuietchco.ltd,8.99,US $,1
Cots,rugweavers101,14.99,C $,1
Mattresses & Pads,kirstenw413,15.95,US $,1
Sleeping Bags,gold_queen55,8.99,US $,1
Sporting Goods,unique_factory,17.98,US $,1
